sujet,label,f1,f2,f3
ameliedb,pa,743,1767,2915
ameliedb,pɑ,637,1170,3003
ameliedb,po,365,929,2847
amelielp,pa,684,1135,3049
amelielp,pɑ,643,1035,3074
amelielp,po,403,801,2960
chengyuan,pa,842,1667,3187
chengyuan,pɑ,726,1149,2998
chengyuan,po,438,806,2893
feige,pa,912,1454,3057
feige,pɑ,894,1204,3387
feige,po,339,795,2989
jianying,pa,782,1637,3137
jianying,pɑ,789,1202,3121
jianying,po,414,931,2615
mingming,pa,842,1680,2928
mingming,pɑ,633,1051,2886
mingming,po,359,858,2707
niuniu,pa,728,1393,2816
niuniu,pɑ,569,876,3415
niuniu,po,465,915,3156
wangqi,pa,823,1468,3038
wangqi,pɑ,671,1035,2972
wangqi,po,481,759,2721
xiaoyi,pa,872,1780,3290
xiaoyi,pɑ,649,1170,3306
xiaoyi,po,424,780,3313
yali,pɑ,786,1150,2929
yali,pa,842,1678,2941
yali,po,365,817,2911
yiran,pa,825,1663,3075
yiran,pɑ,769,1216,2798
yiran,po,467,730,3043
xingxing,pa,851,1859,3108
xingxing,pɑ,790,1135,2913
xingxing,po,494,960,3008
yuting,pa,808,1644,3225
yuting,pɑ,775,1335,3378
yuting,po,484,801,2556
zeijie,pa,672,1471,3158
zeijie,pɑ,623,1167,3069
zeijie,po,487,609,2625
